day,price,,,
29/8/19,22.87948,,,
29/8/19,24.48219,,,
29/8/19,25.38319,,,
29/8/19,27.75157,,,
29/8/19,30.11963,,,
29/8/19,31.72716,,,
29/8/19,33.38616,,,
29/8/19,34.55278,,,
29/8/19,34.42222,,,
29/8/19,38.97906,,,
29/8/19,62.92095,,,
29/8/19,68.42398,,,
29/8/19,48.89109,,,
29/8/19,40.71451,,,
29/8/19,34.75184,,,
29/8/19,32.23067,,,
30/8/19,28.68694,,,
30/8/19,27.40808,,,
30/8/19,25.58373,,,
30/8/19,24.65982,,,
30/8/19,25.48891,,,
30/8/19,28.84982,,,
30/8/19,33.49047,,,
30/8/19,28.98832,,,
30/8/19,22.29412,,,
30/8/19,22.50103,,,
30/8/19,23.23099,,,
30/8/19,25.62403,,,
30/8/19,27.88272,,,
30/8/19,30.78627,,,
30/8/19,33.02225,,,
30/8/19,34.21259,,,
30/8/19,38.33157,,,
30/8/19,41.06637,,,
30/8/19,58.81673,,,
30/8/19,58.75033,,,
30/8/19,43.42749,,,
30/8/19,37.60171,,,
30/8/19,32.60556,,,
30/8/19,30.29067,,,
31/8/19,30.62289,,,
31/8/19,29.685,,,
31/8/19,28.01519,,,
31/8/19,27.42614,,,
31/8/19,27.58521,,,
31/8/19,28.51919,,,
31/8/19,29.07323,,,
31/8/19,25.21704,,,
31/8/19,15.01448,,,
31/8/19,15.46737,,,
31/8/19,20.92261,,,
31/8/19,24.92414,,,
31/8/19,26.76971,,,
31/8/19,29.06997,,,
31/8/19,30.86585,,,
31/8/19,33.31586,,,
31/8/19,36.40995,,,
31/8/19,39.96618,,,
31/8/19,58.4357,,,
31/8/19,61.61903,,,
31/8/19,43.39047,,,
31/8/19,38.09962,,,
31/8/19,32.24937,,,
31/8/19,30.51274,,,
1/9/19,32.80779,,,
1/9/19,31.10797,,,
1/9/19,29.76969,,,
1/9/19,29.10064,,,
1/9/19,28.69591,,,
1/9/19,28.95967,,,
1/9/19,29.99273,,,
1/9/19,26.02115,,,
1/9/19,16.12155,,,
1/9/19,15.58886,,,
1/9/19,20.95456,,,
1/9/19,25.81087,,,
1/9/19,27.20285,,,
1/9/19,31.31904,,,
1/9/19,32.06873,,,
1/9/19,35.28648,,,
1/9/19,38.25053,,,
1/9/19,42.11766,,,
1/9/19,58.64156,,,
1/9/19,64.43489,,,
1/9/19,49.29427,,,
1/9/19,40.69196,,,
1/9/19,35.85527,,,
1/9/19,33.67411,,,
2/9/19,33.33223,,,
2/9/19,32.78205,,,
2/9/19,30.80135,,,
2/9/19,29.54023,,,
2/9/19,29.37194,,,
2/9/19,29.803,,,
2/9/19,30.38839,,,
2/9/19,27.37302,,,
2/9/19,21.07255,,,
2/9/19,21.56078,,,
2/9/19,23.92789,,,
2/9/19,28.11694,,,
2/9/19,31.00855,,,
2/9/19,33.75336,,,
2/9/19,36.30558,,,
2/9/19,39.5177,,,
2/9/19,41.2546,,,
2/9/19,45.25229,,,
2/9/19,64.76517,,,
2/9/19,64.83361,,,
2/9/19,49.17903,,,
2/9/19,40.62234,,,
2/9/19,36.01888,,,
2/9/19,33.66024,,,
3/9/19,36.03882,,,
3/9/19,31.64722,,,
3/9/19,29.48208,,,
3/9/19,28.29387,,,
3/9/19,30.13127,,,
3/9/19,33.54793,,,
3/9/19,39.68434,,,
3/9/19,35.65728,,,
3/9/19,28.75958,,,
3/9/19,28.81014,,,
3/9/19,31.73473,,,
3/9/19,35.15869,,,
3/9/19,37.80351,,,
3/9/19,41.08491,,,
3/9/19,40.83422,,,
3/9/19,43.06472,,,
3/9/19,43.83411,,,
3/9/19,48.794,,,
3/9/19,79.83972,,,
3/9/19,67.30149,,,
3/9/19,53.72958,,,
3/9/19,43.57408,,,
3/9/19,39.64592,,,
3/9/19,35.98603,,,
4/9/19,37.49879,,,
4/9/19,35.10878,,,
4/9/19,32.82314,,,
4/9/19,32.84239,,,
4/9/19,34.37823,,,
4/9/19,37.36708,,,
4/9/19,46.40104,,,
4/9/19,41.61361,,,
4/9/19,33.80692,,,
4/9/19,33.74962,,,
4/9/19,35.86993,,,
4/9/19,41.06472,,,
4/9/19,42.98018,,,
4/9/19,46.74174,,,
4/9/19,41.09988,,,
4/9/19,44.40131,,,
4/9/19,46.11477,,,
4/9/19,59.53096,,,
4/9/19,68.31374298,,,
4/9/19,66.48112,,,
4/9/19,52.66386,,,
4/9/19,43.9801,,,
4/9/19,46.02945,,,
4/9/19,41.24323,,,
5/9/19,37.65705,,,
5/9/19,36.3209,,,
5/9/19,33.26281,,,
5/9/19,32.30785,,,
5/9/19,33.482,,,
5/9/19,38.04359,,,
5/9/19,47.24865,,,
5/9/19,43.92037,,,
5/9/19,37.40014,,,
5/9/19,34.67053,,,
5/9/19,37.28606,,,
5/9/19,39.89628,,,
5/9/19,35.13897,,,
5/9/19,43.2089,,,
5/9/19,46.80239,,,
5/9/19,45.25466,,,
5/9/19,48.68324,,,
5/9/19,60.5454,,,
5/9/19,69.5390205,,,
5/9/19,71.20598,,,
5/9/19,55.60373,,,
5/9/19,53.62837,,,
5/9/19,46.8133,,,
5/9/19,39.36438,,,
6/9/19,35.97597,,,
6/9/19,35.40123,,,
6/9/19,32.77085,,,
6/9/19,31.75327,,,
6/9/19,31.81931,,,
6/9/19,36.27613,,,
6/9/19,41.74264,,,
6/9/19,36.97851,,,
6/9/19,29.03327,,,
6/9/19,26.31534,,,
6/9/19,28.34176,,,
6/9/19,30.79331,,,
6/9/19,29.49267,,,
6/9/19,32.36752,,,
6/9/19,29.42103,,,
6/9/19,31.84006,,,
6/9/19,32.6456,,,
6/9/19,49.55138,,,
6/9/19,78.86149,,,
6/9/19,64.21249,,,
6/9/19,46.63869,,,
6/9/19,42.23448,,,
6/9/19,38.45462,,,
6/9/19,37.85536,,,
7/9/19,34.7016,,,
7/9/19,33.57337,,,
7/9/19,32.94787,,,
7/9/19,32.67284,,,
7/9/19,31.46909,,,
7/9/19,32.72099,,,
7/9/19,35.12075,,,
7/9/19,29.22185,,,
7/9/19,21.92785,,,
7/9/19,20.53421,,,
7/9/19,22.10673,,,
7/9/19,24.11797,,,
7/9/19,25.72332,,,
7/9/19,28.20577,,,
7/9/19,28.90814,,,
7/9/19,29.23789,,,
7/9/19,30.38995,,,
7/9/19,34.37752,,,
7/9/19,44.12065,,,
7/9/19,50.98898,,,
7/9/19,43.18032,,,
7/9/19,35.60826,,,
7/9/19,33.1103,,,
7/9/19,30.65196,,,
8/9/19,28.47563,,,
8/9/19,28.2085,,,
8/9/19,28.07656,,,
8/9/19,27.14777,,,
8/9/19,27.31334,,,
8/9/19,28.09026,,,
8/9/19,28.67456,,,
8/9/19,25.39433,,,
8/9/19,9.473612659,,,
8/9/19,10.39249889,,,
8/9/19,9.550781031,,,
8/9/19,9.800398269,,,
8/9/19,14.01735,,,
8/9/19,20.44418,,,
8/9/19,23.0166,,,
8/9/19,25.59046,,,
8/9/19,26.16804,,,
8/9/19,32.87607,,,
8/9/19,43.11708,,,
8/9/19,50.57871,,,
8/9/19,40.95093,,,
8/9/19,36.67162,,,
8/9/19,30.63614,,,
8/9/19,28.39584,,,
9/9/19,28.87848,,,
9/9/19,27.95736,,,
9/9/19,26.78443,,,
9/9/19,26.34037,,,
9/9/19,28.41657,,,
9/9/19,33.85755,,,
9/9/19,42.34562,,,
9/9/19,36.94911,,,
9/9/19,24.0192,,,
9/9/19,21.15837,,,
9/9/19,22.08996,,,
9/9/19,21.32805,,,
9/9/19,24.1032,,,
9/9/19,26.31954,,,
9/9/19,28.5277,,,
9/9/19,27.67798,,,
9/9/19,31.80814,,,
9/9/19,34.88279,,,
9/9/19,48.42935,,,
9/9/19,56.53805,,,
9/9/19,44.77216,,,
9/9/19,37.90333,,,
9/9/19,35.06395,,,
9/9/19,30.8166,,,
10/9/19,30.00851,,,
10/9/19,28.48202,,,
10/9/19,28.29515,,,
10/9/19,28.55339,,,
10/9/19,30.5197,,,
10/9/19,34.64561,,,
10/9/19,40.10405,,,
10/9/19,35.43142,,,
10/9/19,25.06267,,,
10/9/19,19.18238,,,
10/9/19,17.16946,,,
10/9/19,19.3583,,,
10/9/19,21.11238,,,
10/9/19,22.71692,,,
10/9/19,26.38479,,,
10/9/19,27.4699,,,
10/9/19,27.67108,,,
10/9/19,36.26692,,,
10/9/19,44.26793,,,
10/9/19,52.62816,,,
10/9/19,42.83058,,,
10/9/19,39.39979,,,
10/9/19,36.2914,,,
10/9/19,30.47975,,,
11/9/19,29.06211,,,
11/9/19,27.79257,,,
11/9/19,26.37811,,,
11/9/19,26.53533,,,
