day,price
18/4/21,9.703566459
18/4/21,20.24571
18/4/21,28.59347
18/4/21,37.41099
18/4/21,71.72285146
18/4/21,73.82345375
18/4/21,67.2351668
18/4/21,52.50026
18/4/21,45.12881
18/4/21,42.18201
19/4/21,38.29709
19/4/21,35.43276
19/4/21,32.32935
19/4/21,32.31876
19/4/21,35.12521
19/4/21,38.47899
19/4/21,44.92723
19/4/21,37.18822
19/4/21,26.57585
19/4/21,26.28759
19/4/21,20.616
19/4/21,18.65196
19/4/21,21.21508
19/4/21,17.20058
19/4/21,20.42196
19/4/21,26.37686
19/4/21,33.72224
19/4/21,38.66961
19/4/21,65.25722023
19/4/21,67.80714445
19/4/21,78.38924
19/4/21,53.07861
19/4/21,44.61217
19/4/21,40.66636
20/4/21,34.25839
20/4/21,33.07736
20/4/21,31.69597
20/4/21,32.14247
20/4/21,34.92073
20/4/21,37.97296
20/4/21,42.36748
20/4/21,34.39969
20/4/21,22.14934
20/4/21,15.30154
20/4/21,9.641271112
20/4/21,9.99898611
20/4/21,11.09726704
20/4/21,12.40902
20/4/21,17.84891
20/4/21,22.22227
20/4/21,24.29027
20/4/21,32.48589
20/4/21,74.30538
20/4/21,70.96128942
20/4/21,57.41339
20/4/21,46.71406
20/4/21,39.33004
20/4/21,35.61828
21/4/21,43.87572
21/4/21,40.9382
21/4/21,38.64267
21/4/21,38.13067
21/4/21,41.35082
21/4/21,44.83209
21/4/21,49.55989
21/4/21,42.28658
21/4/21,29.06655
21/4/21,20.56878
21/4/21,10.68159516
21/4/21,9.882726967
21/4/21,11.10057337
21/4/21,10.53811432
21/4/21,10.04951117
21/4/21,9.844893884
21/4/21,21.60297
21/4/21,33.0208
21/4/21,64.02216
21/4/21,58.75783
21/4/21,60.48679
21/4/21,51.69874
21/4/21,45.65407
21/4/21,39.80495
22/4/21,34.04084
22/4/21,33.12404
22/4/21,32.78982
22/4/21,33.2999
22/4/21,34.08081
22/4/21,39.03166
22/4/21,49.61522
22/4/21,38.82984
22/4/21,25.78746
22/4/21,22.56159
22/4/21,10.09347307
22/4/21,10.67998543
22/4/21,10.26140781
22/4/21,10.2743507
22/4/21,9.836100898
22/4/21,10.57308261
22/4/21,10.05852528
22/4/21,28.57909
22/4/21,43.77413
22/4/21,54.22087
22/4/21,57.94103
22/4/21,48.08714
22/4/21,42.90452
22/4/21,37.00157
23/4/21,33.5394
23/4/21,31.44957
23/4/21,31.0924
23/4/21,32.12983
23/4/21,34.33069
23/4/21,40.93603
23/4/21,46.25948
23/4/21,47.34648
23/4/21,26.64923
23/4/21,10.04507514
23/4/21,11.70336386
23/4/21,10.64801932
23/4/21,11.37268895
23/4/21,10.82119161
23/4/21,11.37144523
23/4/21,9.148782763
23/4/21,10.41690478
23/4/21,26.81826
23/4/21,41.96112
23/4/21,50.85547
23/4/21,53.29137
23/4/21,47.23158
23/4/21,41.58562
23/4/21,38.6119
24/4/21,38.40757
24/4/21,35.29088
24/4/21,33.83603
24/4/21,33.3388
24/4/21,35.36594
24/4/21,38.66528
24/4/21,36.43542
24/4/21,34.46869
24/4/21,9.308472864
24/4/21,11.66545505
24/4/21,9.429275209
24/4/21,9.419361298
